Product,Price,Date,Category
Tomato,26.94,2024-01-01,Vegetable
Potato,40.25,2024-01-01,Vegetable
Onion,26.82,2024-01-01,Vegetable
Carrot,38.08,2024-01-01,Vegetable
Cabbage,31.05,2024-01-01,Vegetable
Apple,119.56,2024-01-01,Fruit
Banana,88.41,2024-01-01,Fruit
Orange,95.91,2024-01-01,Fruit
Mango,82.25,2024-01-01,Fruit
Grapes,42.05,2024-01-01,Fruit
Tomato,35.08,2024-01-02,Vegetable
Potato,45.18,2024-01-02,Vegetable
Onion,40.64,2024-01-02,Vegetable
Carrot,23.96,2024-01-02,Vegetable
Cabbage,52.56,2024-01-02,Vegetable
Apple,97.8,2024-01-02,Fruit
Banana,48.55,2024-01-02,Fruit
Orange,43.64,2024-01-02,Fruit
Mango,80.7,2024-01-02,Fruit
Grapes,67.43,2024-01-02,Fruit
Tomato,42.34,2024-01-03,Vegetable
Potato,34.23,2024-01-03,Vegetable
Onion,54.75,2024-01-03,Vegetable
Carrot,58.59,2024-01-03,Vegetable
Cabbage,41.27,2024-01-03,Vegetable
Apple,78.01,2024-01-03,Fruit
Banana,61.3,2024-01-03,Fruit
Orange,73.94,2024-01-03,Fruit
Mango,101.44,2024-01-03,Fruit
Grapes,49.81,2024-01-03,Fruit
Tomato,44.4,2024-01-04,Vegetable
Potato,45.57,2024-01-04,Vegetable
Onion,37.26,2024-01-04,Vegetable
Carrot,32.02,2024-01-04,Vegetable
Cabbage,59.33,2024-01-04,Vegetable
Apple,100.09,2024-01-04,Fruit
Banana,89.22,2024-01-04,Fruit
Orange,55.28,2024-01-04,Fruit
Mango,72.87,2024-01-04,Fruit
Grapes,93.37,2024-01-04,Fruit
Tomato,20.32,2024-01-05,Vegetable
Potato,52.02,2024-01-05,Vegetable
Onion,28.76,2024-01-05,Vegetable
Carrot,56.33,2024-01-05,Vegetable
Cabbage,58.06,2024-01-05,Vegetable
Apple,70.57,2024-01-05,Fruit
Banana,84.09,2024-01-05,Fruit
Orange,80.03,2024-01-05,Fruit
Mango,58.15,2024-01-05,Fruit
Grapes,115.15,2024-01-05,Fruit
Tomato,27.59,2024-01-06,Vegetable
Potato,33.27,2024-01-06,Vegetable
Onion,25.59,2024-01-06,Vegetable
Carrot,23.04,2024-01-06,Vegetable
Cabbage,20.79,2024-01-06,Vegetable
Apple,82.43,2024-01-06,Fruit
Banana,52.01,2024-01-06,Fruit
Orange,117.46,2024-01-06,Fruit
Mango,77.51,2024-01-06,Fruit
Grapes,104.77,2024-01-06,Fruit
Tomato,51.83,2024-01-07,Vegetable
Potato,26.56,2024-01-07,Vegetable
Onion,49.23,2024-01-07,Vegetable
Carrot,50.46,2024-01-07,Vegetable
Cabbage,33.29,2024-01-07,Vegetable
Apple,110.26,2024-01-07,Fruit
Banana,42.45,2024-01-07,Fruit
Orange,76.96,2024-01-07,Fruit
Mango,56.51,2024-01-07,Fruit
Grapes,78.39,2024-01-07,Fruit
Tomato,51.27,2024-01-08,Vegetable
Potato,52.06,2024-01-08,Vegetable
